room_id,building_id,timestamp,live_temperature,occupancy_status,capacity,electricity_kwh,approx_sqft_per_person
116,100,2025-07-01 00:00:00,73.17,Unoccupied,24,0.0065,360
116,100,2025-07-01 01:00:00,72.75,Unoccupied,24,0.0065,360
116,100,2025-07-01 02:00:00,73.59,Unoccupied,24,0.0065,360
116,100,2025-07-01 03:00:00,70.99,Unoccupied,24,0.0065,360
116,100,2025-07-01 04:00:00,72.29,Unoccupied,24,0.0065,360
116,100,2025-07-01 05:00:00,74.46,Unoccupied,24,0.0065,360
116,100,2025-07-01 06:00:00,74.37,Unoccupied,24,0.0065,360
116,100,2025-07-01 07:00:00,73.33,Unoccupied,24,0.0065,360
116,100,2025-07-01 08:00:00,75.75,Occupied,24,0.013,360
116,100,2025-07-01 09:00:00,74.84,Occupied,24,0.013,360
116,100,2025-07-01 10:00:00,76.56,Occupied,24,0.013,360
116,100,2025-07-01 11:00:00,74.78,Occupied,24,0.013,360
116,100,2025-07-01 12:00:00,75.88,Occupied,24,0.013,360
116,100,2025-07-01 13:00:00,77.46,Occupied,24,0.013,360
116,100,2025-07-01 14:00:00,76.11,Occupied,24,0.013,360
116,100,2025-07-01 15:00:00,77.15,Occupied,24,0.013,360
116,100,2025-07-01 16:00:00,72.88,Unoccupied,24,0.0065,360
116,100,2025-07-01 17:00:00,72.88,Unoccupied,24,0.0065,360
116,100,2025-07-01 18:00:00,74.13,Unoccupied,24,0.0065,360
116,100,2025-07-01 19:00:00,75.2,Unoccupied,24,0.0065,360
116,100,2025-07-01 20:00:00,73.15,Unoccupied,24,0.0065,360
116,100,2025-07-01 21:00:00,71.7,Unoccupied,24,0.0065,360
116,100,2025-07-01 22:00:00,74.1,Unoccupied,24,0.0065,360
116,100,2025-07-01 23:00:00,71.59,Unoccupied,24,0.0065,360
116,100,2025-07-02 00:00:00,72.88,Unoccupied,24,0.0065,360
116,100,2025-07-02 01:00:00,71.68,Unoccupied,24,0.0065,360
116,100,2025-07-02 02:00:00,73.8,Unoccupied,24,0.0065,360
116,100,2025-07-02 03:00:00,74.06,Unoccupied,24,0.0065,360
116,100,2025-07-02 04:00:00,74.87,Unoccupied,24,0.0065,360
116,100,2025-07-02 05:00:00,73.25,Unoccupied,24,0.0065,360
116,100,2025-07-02 06:00:00,72.36,Unoccupied,24,0.0065,360
116,100,2025-07-02 07:00:00,72.27,Unoccupied,24,0.0065,360
116,100,2025-07-02 08:00:00,75.12,Occupied,24,0.013,360
116,100,2025-07-02 09:00:00,75.25,Occupied,24,0.013,360
116,100,2025-07-02 10:00:00,76.87,Occupied,24,0.013,360
116,100,2025-07-02 11:00:00,76.53,Occupied,24,0.013,360
116,100,2025-07-02 12:00:00,75.08,Occupied,24,0.013,360
116,100,2025-07-02 13:00:00,75.94,Occupied,24,0.013,360
116,100,2025-07-02 14:00:00,75.58,Occupied,24,0.013,360
116,100,2025-07-02 15:00:00,75.81,Occupied,24,0.013,360
116,100,2025-07-02 16:00:00,72.76,Unoccupied,24,0.0065,360
116,100,2025-07-02 17:00:00,72.26,Unoccupied,24,0.0065,360
